Үнэ,Дүүрэг,Талбай (м.кв),Ашиглалтад орсон,Барилгын давхар,Хэдэн давхарт,Цонхны тоо,Гараж
2.8 сая ₮,Баянзүрх,60,2013,12,12,2,Байхгүй
4.2 сая ₮,Сүхбаатар,"106,65",2023,4,4,4,Байгаа
95 сая ₮,Сонгинохайрхан,23.32,2000,11,11,4,Байхгүй
3.4 сая ₮,Сүхбаатар,51.67,2022,12,9,2,Байхгүй
130 сая ₮,Сонгинохайрхан,88,1982,2,1,2,Байхгүй
160 сая ₮,Хан-Уул,47,2022,16,10,3,Байхгүй
295 сая ₮,Баянзүрх,108.6,2009,15,4,3,Байгаа
2.5 сая ₮,Хан-Уул,70.44,2023,14,3,4,Байхгүй
2.8 сая ₮,Баянзүрх,60,2013,12,12,2,Байхгүй
200 сая ₮,Хан-Уул,"95,14",2023,13,7,4,Байхгүй
147 сая ₮,Баянзүрх,50.77,2023,5,3,2,Байгаа
3.1 сая ₮,Хан-Уул,79.8,2015,6,3,5,Байгаа
4.2 сая ₮,Сүхбаатар,"106,65",2023,4,4,4,Байгаа
115 сая ₮,Баянгол,45,1986,9,5,3,Байхгүй
170 сая ₮,Баянгол,210мк,2010,1,1,8+,Байгаа
4.2 сая ₮,Хан-Уул,80,2023,16,8,4,Байгаа
3.1 сая ₮,Баянзүрх,55.31,2023,9,9,3,Байхгүй
170 сая ₮,Баянгол,80 m2,1990,9,3,4,Байхгүй
105 сая ₮,Сонгинохайрхан,45.8,2011,12,2,2,Байхгүй
85 сая ₮,Сонгинохайрхан,47,2011,5,3,2,Байхгүй
150 сая ₮,Сүхбаатар,"51,35",2023,16,7,2,Байхгүй
360 сая ₮,Сүхбаатар,103,2020,13,4,4,Байхгүй
2.3 сая ₮,Хан-Уул,87.77,2021,9,4,3,Байгаа
170 сая ₮,Баянгол,210мк,2019,1,1,8+,Байгаа
95 сая ₮,Сонгинохайрхан,23.32,2000,11,11,4,Байхгүй
180 сая ₮,Баянгол,80 m2,1988,9,8,4,Байхгүй
2.5 сая ₮,Чингэлтэй,60,2001,6,5,3,Байхгүй
910 сая ₮,Сүхбаатар,130,2021,24,21,5,Байгаа
388 сая ₮,Хан-Уул,65,2023,23,18,3,Байхгүй
93 сая ₮,Баянгол,35.2,2020,16,15,2,Байхгүй
122 сая ₮,Баянзүрх,44,2014,12,10,3,Байхгүй
3.2 сая ₮,Хан-Уул,53,2023,14,3,2,Байгаа
180 сая ₮,Баянгол,80,1989,9,9,4,Байхгүй
385 сая ₮,Баянзүрх,177,2006,4,1,8+,Байхгүй
115 сая ₮,Баянгол,18,1995,9,4,2,Байхгүй
95 сая ₮,Сонгинохайрхан,23.32,2000,11,11,4,Байхгүй
360 сая ₮,Баянзүрх,92,2014,12,7,4,Байгаа
95 сая ₮,Сонгинохайрхан,23.32,2002,11,11,4,Байхгүй
295 сая ₮,Хан-Уул,83.8,2014,16,3,4,Байхгүй
4 сая ₮,Баянзүрх,113.18,2018,13,5,5,Байгаа
75 сая ₮,Баянзүрх,29.43,2019,9,6,1,Байхгүй
110 сая ₮,Баянгол,44,2015,9,9,2,Байхгүй
80 сая ₮,Чингэлтэй,53,2023,12,10,2,Байгаа
56 сая ₮,Чингэлтэй,40,2023,12,6,2,Байгаа
180 сая ₮,Баянгол,78,2014,6,5,5,Байхгүй
76 сая ₮,Баянзүрх,"29,3",2019,9,6,1,Байхгүй
2.6 сая ₮,Хан-Уул,"94,1",2014,16,3,5,Байхгүй
155 сая ₮,Баянзүрх,44,2014,12,4,2,Байхгүй
136 сая ₮,Баянзүрх,72,1999,5,3,4,Байхгүй
3.1 сая ₮,Баянзүрх,68,2019,16,12,4,Байхгүй
4.2 сая ₮,Хан-Уул,139,2023,3,2,8+,Байгаа
135 сая ₮,Баянгол,54,1985,5,4,3,Байхгүй
3.1 сая ₮,Баянзүрх,53.48,2023,7,6,4,Байхгүй
220 сая ₮,Хан-Уул,"61,52",2021,12,12,4,Байхгүй
118 сая ₮,Баянзүрх,36.02,2014,10,4,2,Байхгүй
4 сая ₮,Хан-Уул,38.63,2022,16,4,3,Байхгүй
140 сая ₮,Баянгол,55,2008,12,9,3,Байхгүй
185 сая ₮,Баянгол,88,1999,9,2,4,Байхгүй
100 сая ₮,Сонгинохайрхан,50м2,2016,9,9,2,Байхгүй
2.5 сая ₮,Баянзүрх,"46,8",2023,13,4,2,Байхгүй
105 сая ₮,Хан-Уул,57,2023,16,10,2,Байхгүй
154 сая ₮,Баянгол,57,2013,12,12,3,Байхгүй
3 сая ₮,Баянзүрх,"52,6",2019,16,3,2,Байгаа
3 сая ₮,Баянзүрх,36.02,2013,10,4,2,Байхгүй
210 сая ₮,Баянгол,75,2023,17,14,4,Байхгүй
122 сая ₮,Баянзүрх,44,2014,12,10,3,Байхгүй
295 сая ₮,Хан-Уул,87,2010,5,2,4,Байхгүй
263 сая ₮,Сүхбаатар,105,2006,5,5,6,Байгаа
125 сая ₮,Баянгол,54,1999,9,4,4,Байхгүй
175 сая ₮,Баянзүрх,57.8,2017,12,3,4,Байгаа
0.5 сая ₮,Баянзүрх,80.6,2012,12,11,3,Байхгүй
160 сая ₮,Хан-Уул,66,2013,5,5,2,Байхгүй
2.5 сая ₮,Баянзүрх,44.25,2019,12,1,2,Байхгүй
97 сая ₮,Баянгол,38,2013,16,6,2,Байхгүй
3.1 сая ₮,Сүхбаатар,53,2023,16,15,2,Байхгүй
2.8 сая ₮,Баянзүрх,"62,5м2",2022,12,4,3,Байхгүй
225 сая ₮,Баянгол,74,2019,5,5,5,Байхгүй
138 сая ₮,Баянгол,48,1980,9,2,2,Байхгүй
85 сая ₮,Баянзүрх,18,1985,5,3,3,Байхгүй
150 сая ₮,Баянгол,29,1989,9,1,4,Байхгүй
2.9 сая ₮,Баянзүрх,49.10,2023,16,9,2,Байхгүй
98 сая ₮,Баянгол,38,2012,16,6,2,Байхгүй
170 сая ₮,Хан-Уул,60,2021,12,5,2,Байхгүй
4.5 сая ₮,Хан-Уул,84.46,2022,2,2,4,Байгаа
3 сая ₮,Баянзүрх,39.5,2023,5,3,2,Байхгүй
105 сая ₮,Сонгинохайрхан,42,2011,12,1,2,Байхгүй
