price,district,area_m2,age_building,building_floor,apartment_floor,number_windows,garage
2800000.0,Баянзүрх,60,10,12,12,2.0,Байхгүй
4200000.0,Сүхбаатар,106,0,4,4,4.0,Байгаа
95000000.0,Сонгинохайрхан,23,23,11,11,4.0,Байхгүй
3400000.0,Сүхбаатар,51,1,12,9,2.0,Байхгүй
130000000.0,Сонгинохайрхан,88,41,2,1,2.0,Байхгүй
160000000.0,Хан-Уул,47,1,16,10,3.0,Байхгүй
295000000.0,Баянзүрх,108,14,15,4,3.0,Байгаа
2500000.0,Хан-Уул,70,0,14,3,4.0,Байхгүй
2800000.0,Баянзүрх,60,10,12,12,2.0,Байхгүй
200000000.0,Хан-Уул,95,0,13,7,4.0,Байхгүй
147000000.0,Баянзүрх,50,0,5,3,2.0,Байгаа
3100000.0,Хан-Уул,79,8,6,3,5.0,Байгаа
4200000.0,Сүхбаатар,106,0,4,4,4.0,Байгаа
115000000.0,Баянгол,45,37,9,5,3.0,Байхгүй
4200000.0,Хан-Уул,80,0,16,8,4.0,Байгаа
3100000.0,Баянзүрх,55,0,9,9,3.0,Байхгүй
170000000.0,Баянгол,80,33,9,3,4.0,Байхгүй
105000000.0,Сонгинохайрхан,45,12,12,2,2.0,Байхгүй
85000000.0,Сонгинохайрхан,47,12,5,3,2.0,Байхгүй
150000000.0,Сүхбаатар,51,0,16,7,2.0,Байхгүй
360000000.0,Сүхбаатар,103,3,13,4,4.0,Байхгүй
2300000.0,Хан-Уул,87,2,9,4,3.0,Байгаа
95000000.0,Сонгинохайрхан,23,23,11,11,4.0,Байхгүй
180000000.0,Баянгол,80,35,9,8,4.0,Байхгүй
2500000.0,Чингэлтэй,60,22,6,5,3.0,Байхгүй
910000000.0,Сүхбаатар,130,2,24,21,5.0,Байгаа
388000000.0,Хан-Уул,65,0,23,18,3.0,Байхгүй
93000000.0,Баянгол,35,3,16,15,2.0,Байхгүй
122000000.0,Баянзүрх,44,9,12,10,3.0,Байхгүй
3200000.0,Хан-Уул,53,0,14,3,2.0,Байгаа
180000000.0,Баянгол,80,34,9,9,4.0,Байхгүй
115000000.0,Баянгол,18,28,9,4,2.0,Байхгүй
95000000.0,Сонгинохайрхан,23,23,11,11,4.0,Байхгүй
360000000.0,Баянзүрх,92,9,12,7,4.0,Байгаа
95000000.0,Сонгинохайрхан,23,21,11,11,4.0,Байхгүй
295000000.0,Хан-Уул,83,9,16,3,4.0,Байхгүй
4000000.0,Баянзүрх,113,5,13,5,5.0,Байгаа
75000000.0,Баянзүрх,29,4,9,6,1.0,Байхгүй
110000000.0,Баянгол,44,8,9,9,2.0,Байхгүй
80000000.0,Чингэлтэй,53,0,12,10,2.0,Байгаа
56000000.0,Чингэлтэй,40,0,12,6,2.0,Байгаа
180000000.0,Баянгол,78,9,6,5,5.0,Байхгүй
76000000.0,Баянзүрх,29,4,9,6,1.0,Байхгүй
2600000.0,Хан-Уул,94,9,16,3,5.0,Байхгүй
155000000.0,Баянзүрх,44,9,12,4,2.0,Байхгүй
136000000.0,Баянзүрх,72,24,5,3,4.0,Байхгүй
3100000.0,Баянзүрх,68,4,16,12,4.0,Байхгүй
135000000.0,Баянгол,54,38,5,4,3.0,Байхгүй
3100000.0,Баянзүрх,53,0,7,6,4.0,Байхгүй
220000000.0,Хан-Уул,61,2,12,12,4.0,Байхгүй
118000000.0,Баянзүрх,36,9,10,4,2.0,Байхгүй
4000000.0,Хан-Уул,38,1,16,4,3.0,Байхгүй
140000000.0,Баянгол,55,15,12,9,3.0,Байхгүй
185000000.0,Баянгол,88,24,9,2,4.0,Байхгүй
100000000.0,Сонгинохайрхан,50,7,9,9,2.0,Байхгүй
2500000.0,Баянзүрх,46,0,13,4,2.0,Байхгүй
105000000.0,Хан-Уул,57,0,16,10,2.0,Байхгүй
154000000.0,Баянгол,57,10,12,12,3.0,Байхгүй
3000000.0,Баянзүрх,52,4,16,3,2.0,Байгаа
